,Mois,Extreme droite,Extreme gauche,Droite,Gauche,Majorite,Verts
0,Janvier,158610,1716934,4187,0,0,0
1,Février,206922,1325304,1217,0,0,1317
2,Mars,228547,3236445,2794,0,0,733
3,Avril,435478,1797785,2136,0,0,2269
4,Mai,420944,1578166,6147,0,0,1261
5,Juin,204259,1934519,2809,0,0,916
6,Juillet,1557373,4535172,3376,0,0,409
7,Aout,1389202,474252,3584,0,0,1496
8,Septembre,4645264,9236198,10062,0,0,2049
9,Octobre,6357617,3060517,18951,0,0,0
10,Novembre,7323771,5874662,17086,0,0,1992
11,Décembre,10664553,2282468,48613,3682,0,10997
